obscd,obsnm,sbsncd,mngorg
5002660,광주광역시(용진교),500204,환경부
5002670,장성군(죽탄교),500203,한국수자원공사
5002677,광주광역시(평림교),500203,환경부
5002690,광주광역시(장록교),500204,환경부
5003604,화순군(세청교),500301,한국수자원공사
5003605,화순군(용두교),500302,환경부
5003610,화순군(능주교),500302,환경부
5003615,화순군(주도교),500303,환경부
5003620,화순군(신성교),500306,환경부
5003640,나주시(나주댐),500304,환경부
5003650,나주시(우산교),500305,환경부
5003680,나주시(남평교),500307,환경부
5004620,광주광역시(승용교),500401,환경부
5004630,승촌보(하류),500401,환경부
5004650,나주시(나주대교),500402,환경부
5004655,나주시(동곡리),500404,환경부
5004670,나주시(영산교),500403,환경부
5004698,죽산보(하류),500604,환경부
5005650,함평군(나산교),500502,환경부
5005680,함평군(원고막교),500502,환경부
5006610,함평군(동강교),500604,환경부
5006617,함평군(대동저수지),500601,환경부
5006620,함평군(영수교),500601,환경부
5006630,함평군(학야교),500602,환경부
5006670,무안군(몽탄대교),500604,환경부
5007640,영암군(해창교),500702,환경부
5101620,장흥군(동산교),510101,한국수자원공사
5101631,장흥군(장흥댐),510102,한국수자원공사
5101650,장흥군(별천교),510102,환경부
5101670,장흥군(예양교),510102,환경부
5101675,장흥군(감천교),510103,환경부
5101680,강진군(풍동리),510104,한국수자원공사
5101690,강진군(석교교),510104,환경부
5301660,고창군(부정교),530103,환경부
5301690,고창군(용선교),530103,환경부
5302620,영광군(반와교),530203,환경부
